,0,std
walle.mp4,9.044377585018298,1.8370258501739467
rio_jungle_jig.mp4,4.32876644704432,1.1182938257795454
bedtime.mp4,5.415758707862236,0.7905517667722639
forest.mp4,11.368633677119933,3.952684264009582
pingu.mp4,7.406244539957374,0.5104824224616515
moana.mp4,9.160816900354995,1.7850038172721618
cars.mp4,4.009391208226666,2.512409798532972
tayo_bus.mp4,9.72579543856852,1.0068038274819555
up_russell.mp4,7.3766861768779926,1.756180127780686
ratatouille.mp4,6.6339394652630554,2.312701420150221
incredibles.mp4,5.5483213323305804,0.5653367810782626
piper.mp4,5.132785424655792,1.2278876411914112
minions_supermarket.mp4,10.130142723001121,0.7666221167972964
real_cars.mp4,6.201385323185582,0.8370955406309326
bathsong.mp4,7.281529768472111,0.414469632216336
breakfast_smoothie.mp4,7.8485923029401485,1.5824366483142633
new_orleans.mp4,6.2801045304962875,1.1625378130409745
wallace_gromit.mp4,8.625770018860512,0.9906346005217691
up_kevin_nonsocial.mp4,5.577530531813004,0.6631971337026662
supermarket.mp4,10.963000983018928,2.3986043728414215
our_planet.mp4,7.430089494649015,0.9352496515685568
up_kevin_social.mp4,8.251393411685138,0.9684821005765273
funny_tools.mp4,4.905375983302729,0.7694550039109561
hand_tools.mp4,8.654380384455871,1.0011736529752329
despicable_me.mp4,8.069357276438664,1.0978744723815006
dalmations.mp4,6.790805200682402,1.4310897127100468
steamed_buns.mp4,8.487167605254996,2.4704565465265107
cartoon_cars.mp4,6.37416761229916,1.035662712911455
mountain_song.mp4,8.172372108274718,3.1280308926260325
beachsong.mp4,7.093580617938536,2.684568250390471
