,walle.mp4,rio_jungle_jig.mp4,bedtime.mp4,forest.mp4,pingu.mp4,moana.mp4,cars.mp4,tayo_bus.mp4,up_russell.mp4,ratatouille.mp4,incredibles.mp4,piper.mp4,minions_supermarket.mp4,real_cars.mp4,bathsong.mp4,breakfast_smoothie.mp4,new_orleans.mp4,wallace_gromit.mp4,up_kevin_nonsocial.mp4,supermarket.mp4,our_planet.mp4,up_kevin_social.mp4,funny_tools.mp4,hand_tools.mp4,despicable_me.mp4,dalmations.mp4,steamed_buns.mp4,cartoon_cars.mp4,mountain_song.mp4,beachsong.mp4
walle.mp4,0.0,4.596592493557606,3.6741747430227596,2.4637823235091965,1.5243195456851346,0.10508193349852668,4.870486834535566,0.5789356247859825,1.564054027545339,2.2809558599904776,3.415923159989603,3.9027814236453873,1.0946827545774678,2.8201243598461385,1.7384089190717757,1.0796355189466276,2.678832083605558,0.3911328556183875,3.5484048494986755,1.7516728426514732,1.6798277144762936,0.9368398451034086,4.432697721641428,0.4355671299343751,0.2906894559897566,2.2337895498796367,0.6114580553181224,2.690535307033718,0.7340488023423948,2.1337426949009517
rio_jungle_jig.mp4,4.596592493557606,0.0,0.9224177505348461,7.060374817066802,3.072272947872471,4.701674427056132,0.27389434097795995,5.175528118343588,3.0325384660122667,2.315636633567128,1.1806693335680025,0.6938110699122184,5.6912752481350735,1.7764681337114672,2.85818357448583,3.516956974610978,1.9177604099520478,4.205459637939218,1.0481876440589302,6.348265336209079,2.916764779081312,3.659752648454197,0.16389477191617807,4.161025363623231,4.305903037567849,2.362802943677969,3.9851344382394833,1.9060571865238876,3.862543691215211,2.462849798656654
bedtime.mp4,3.6741747430227596,0.9224177505348461,0.0,6.137957066531956,2.149855197337625,3.7792566765212863,1.196312091512806,4.253110367808742,2.1101207154774206,1.393218883032282,0.25825158303315643,0.22860668062262768,4.768857497600227,0.8540503831766211,1.9357658239509838,2.594539224076132,0.9953426594172017,3.283041887404372,0.12576989352408408,5.425847585674233,1.994347028546466,2.737334897919351,0.758522978618668,3.2386076130883845,3.383485287033003,1.4403851931431229,3.0627166877046372,0.9836394359890415,2.940125940680365,1.540432048121808
forest.mp4,2.4637823235091965,7.060374817066802,6.137957066531956,0.0,3.988101869194331,2.35870039001067,7.334269158044762,1.884846698723214,4.027836351054535,4.744738183499674,5.8797054834988,6.366563747154584,1.3690995689317287,5.283906683355335,4.202191242580972,3.543417842455824,5.142614407114754,2.854915179127584,6.012187173007872,0.7121094808577233,4.14361003798549,3.400622168612605,6.896480045150624,2.8993494534435715,2.754471779498953,4.697571873388833,3.075240378827319,5.154317630542915,3.1978311258515912,4.597525018410148
pingu.mp4,1.5243195456851346,3.072272947872471,2.149855197337625,3.988101869194331,0.0,1.6294014791836613,3.346167288850431,2.103255170471117,0.03973448186020434,0.756636314305343,1.8916036143044686,2.3784618779602527,2.6190023002626024,1.295804814161004,0.21408937338664114,0.44468402673850704,1.1545125379204233,1.133186690066747,2.024085303813541,3.2759923883366078,0.15550816879115903,0.587479700581726,2.908378175956293,1.0887524157507595,1.233630089695378,0.7094700041945021,0.9128614903670123,1.1662157613485835,0.7902707433427398,0.6094231492158171
moana.mp4,0.10508193349852668,4.701674427056132,3.7792566765212863,2.35870039001067,1.6294014791836613,0.0,4.975568768034092,0.4738536912874558,1.6691359610438656,2.3860377934890042,3.52100509348813,4.007863357143914,0.9896008210789411,2.925206293344665,1.8434908525703024,1.1847174524451543,2.7839140171040846,0.4962147891169142,3.653486782997202,1.6465909091529465,1.7849096479748203,1.0419217786019352,4.537779655139954,0.5406490634329018,0.3957713894882833,2.3388714833781634,0.716539988816649,2.795617240532245,0.8391307358409215,2.2388246283994784
cars.mp4,4.870486834535566,0.27389434097795995,1.196312091512806,7.334269158044762,3.346167288850431,4.975568768034092,0.0,5.449422459321548,3.3064328069902267,2.589530974545088,1.4545636745459625,0.9677054108901784,5.965169589113033,2.050362474689427,3.13207791546379,3.790851315588938,2.1916547509300077,4.479353978917178,1.3220819850368901,6.622159677187039,3.190659120059272,3.933646989432157,0.437789112894138,4.434919704601191,4.579797378545809,2.636697284655929,4.259028779217443,2.1799515275018475,4.136438032193171,2.736744139634614
tayo_bus.mp4,0.5789356247859825,5.175528118343588,4.253110367808742,1.884846698723214,2.103255170471117,0.4738536912874558,5.449422459321548,0.0,2.1429896523313214,2.85989148477646,3.9948587847755856,4.48171704843137,0.5157471297914853,3.399059984632121,2.3173445438577582,1.65857114373261,3.2577677083915404,0.97006848040437,4.127340474284658,1.1727372178654907,2.258763339262276,1.515775469889391,5.01163334642741,1.0145027547203576,0.8696250807757391,2.812725174665619,1.1903936801041048,3.2694709318197006,1.3129844271283773,2.712678319686934
up_russell.mp4,1.564054027545339,3.0325384660122667,2.1101207154774206,4.027836351054535,0.03973448186020434,1.6691359610438656,3.3064328069902267,2.1429896523313214,0.0,0.7169018324451386,1.8518691324442642,2.3387273961000483,2.6587367821228067,1.2560703323007996,0.1743548915264368,0.4844185085987114,1.114778056060219,1.1729211719269514,1.9843508219533366,3.315726870196812,0.11577368693095469,0.6272141824419304,2.8686436940960887,1.1284868976109639,1.2733645715555824,0.6697355223342978,0.9525959722272166,1.1264812794883792,0.8300052252029442,0.5696886673556127
ratatouille.mp4,2.2809558599904776,2.315636633567128,1.393218883032282,4.744738183499674,0.756636314305343,2.3860377934890042,2.589530974545088,2.85989148477646,0.7169018324451386,0.0,1.1349672999991256,1.6218255636549097,3.3756386145679453,0.539168499855661,0.5425469409187018,1.20132034104385,0.39787622361508035,1.88982300437209,1.267448989508198,4.032628702641951,0.6011281455141839,1.344116014887069,2.15174186165095,1.8453887300561025,1.990266404000721,0.047166310110840826,1.6694978046723552,0.40957944704324056,1.5469070576480828,0.14721316508952587
